period,region,tax_type,accrued,paid,debt,taxpayers
2024-11,Брестская область,Имущественные налоги,401203015.0,325013877.0,76189138.0,110051
2024-11,Брестская область,НДС,228843139.0,206622657.0,22220482.0,297045
2024-11,Брестская область,Налог на прибыль,261831265.0,204567659.0,57263606.0,215760
2024-11,Брестская область,Подоходный налог,145905736.0,115306150.0,30599586.0,20702
2024-11,Витебская область,Акцизы,296850778.0,251989126.0,44861652.0,186938
2024-11,Витебская область,Имущественные налоги,398732146.0,299107455.0,99624691.0,255753
2024-11,Витебская область,НДС,298667457.0,198998937.0,99668520.0,328820
2024-11,Витебская область,Налог на прибыль,426668353.0,317386590.0,109281763.0,182936
2024-11,Витебская область,Подоходный налог,506498093.0,387777910.0,118720183.0,198248
2024-11,Гомельская область,Акцизы,667202717.0,519863894.0,147338823.0,73194
2024-11,Гомельская область,Имущественные налоги,269314583.0,230357535.0,38957048.0,231331
2024-11,Гомельская область,НДС,450996844.0,317329312.0,133667532.0,317266
2024-11,Гомельская область,Налог на прибыль,108490294.0,76308827.0,32181467.0,378266
2024-11,Гомельская область,Подоходный налог,120093910.0,86899756.0,33194154.0,286099
2024-11,Гродненская область,Акцизы,195237411.0,166533761.0,28703650.0,157307
2024-11,Гродненская область,Имущественные налоги,254304026.0,177406559.0,76897467.0,102637
2024-11,Гродненская область,НДС,268664530.0,183864487.0,84800043.0,117453
2024-11,Гродненская область,Налог на прибыль,446545601.0,344297809.0,102247792.0,324260
2024-11,Гродненская область,Подоходный налог,543361249.0,423769197.0,119592052.0,303901
2024-11,Минская область,Акцизы,317836235.0,243902801.0,73933434.0,390262
2024-11,Минская область,Имущественные налоги,398977570.0,279028302.0,119949268.0,295970
2024-11,Минская область,НДС,587978650.0,509282163.0,78696487.0,427551
2024-11,Минская область,Налог на прибыль,165038393.0,149415411.0,15622982.0,413621
2024-11,Минская область,Подоходный налог,722089262.0,537186182.0,184903080.0,56175
2024-11,Могилёвская область,Акцизы,552709653.0,361619963.0,191089690.0,228394
2024-11,Могилёвская область,Имущественные налоги,372792829.0,333770451.0,39022378.0,197993
2024-11,Могилёвская область,НДС,143952405.0,110624812.0,33327593.0,106961
2024-11,Могилёвская область,Налог на прибыль,235134486.0,207890985.0,27243501.0,216800
2024-11,Могилёвская область,Подоходный налог,416504097.0,356549158.0,59954939.0,160846
2024-11,г. Минск,Акцизы,286141301.0,256485953.0,29655348.0,169720
2024-11,г. Минск,Имущественные налоги,1975391526.0,1365928907.0,609462619.0,528287
2024-11,г. Минск,НДС,259709027.0,234071802.0,25637225.0,457907
2024-11,г. Минск,Налог на прибыль,2007494151.0,1812301021.0,195193130.0,498346
2024-11,г. Минск,Подоходный налог,1414274345.0,997871451.0,416402894.0,168406
2024-12,Брестская область,Акцизы,177394151.0,124669749.0,52724402.0,158177
2024-12,Брестская область,Имущественные налоги,208512915.0,140546325.0,67966590.0,69069
2024-12,Брестская область,НДС,352028264.0,302555477.0,49472787.0,252325
2024-12,Брестская область,Налог на прибыль,38928080.0,25709426.0,13218654.0,94395
2024-12,Брестская область,Подоходный налог,487328334.0,344799529.0,142528805.0,290837
2024-12,Витебская область,Акцизы,188414662.0,168641169.0,19773493.0,127487
2024-12,Витебская область,Имущественные налоги,239577865.0,167716802.0,71861063.0,188428
2024-12,Витебская область,НДС,250484353.0,206250858.0,44233495.0,201548
2024-12,Витебская область,Налог на прибыль,74163047.0,63315570.0,10847477.0,94950
2024-12,Витебская область,Подоходный налог,129032510.0,97923506.0,31109004.0,423188
2024-12,Гомельская область,Акцизы,253089484.0,167961499.0,85127985.0,376976
2024-12,Гомельская область,Имущественные налоги,383118198.0,343923984.0,39194214.0,347466
2024-12,Гомельская область,НДС,456447127.0,328083539.0,128363588.0,107080
2024-12,Гомельская область,Налог на прибыль,425127103.0,294920970.0,130206133.0,174117
2024-12,Гомельская область,Подоходный налог,67235907.0,47782284.0,19453623.0,416808
2024-12,Гродненская область,Акцизы,236042896.0,190560728.0,45482168.0,203042
2024-12,Гродненская область,Имущественные налоги,138475887.0,94415332.0,44060555.0,289290
2024-12,Гродненская область,НДС,347630401.0,297290411.0,50339990.0,119537
2024-12,Гродненская область,Налог на прибыль,78755778.0,67028109.0,11727669.0,378633
2024-12,Гродненская область,Подоходный налог,137551618.0,116459624.0,21091994.0,314032
2024-12,Минская область,Акцизы,240118578.0,173231472.0,66887106.0,11032
2024-12,Минская область,Имущественные налоги,808282589.0,703131447.0,105151142.0,189684
2024-12,Минская область,НДС,271705997.0,180859804.0,90846193.0,287322
2024-12,Минская область,Налог на прибыль,262916798.0,189687151.0,73229647.0,394282
2024-12,Минская область,Подоходный налог,775493851.0,646730044.0,128763807.0,291549
2024-12,Могилёвская область,Акцизы,168795274.0,149619378.0,19175896.0,41280
2024-12,Могилёвская область,Имущественные налоги,256476705.0,199529089.0,56947616.0,155322
2024-12,Могилёвская область,НДС,475232545.0,340559134.0,134673411.0,321775
2024-12,Могилёвская область,Налог на прибыль,320657806.0,287893697.0,32764109.0,409605
2024-12,Могилёвская область,Подоходный налог,196385948.0,137647532.0,58738416.0,281428
2024-12,г. Минск,Акцизы,1044494281.0,836003280.0,208491001.0,349810
2024-12,г. Минск,Имущественные налоги,1937778670.0,1399818327.0,537960343.0,540813
2024-12,г. Минск,НДС,1146975584.0,921486131.0,225489453.0,493621
2024-12,г. Минск,Налог на прибыль,1505153206.0,1333093490.0,172059716.0,78468
2024-12,г. Минск,Подоходный налог,1516860371.0,1078181272.0,438679099.0,136602
